height,angle,length,width,in_dia,out_dia,dia,time
18.3,5.25,150,5,0,8,8,1.812
18.3,5.25,150,5,1,7,8,1.858
18.3,5.25,150,5,1.5,6.5,8,1.84
18.3,5.25,150,5,4,4,8,1.91
18.3,5.25,150,5,7,1,8,2.022
18.3,5.25,150,5,0,6,6,1.874
18.3,5.25,150,5,0,4,4,1.944
18.3,5.25,150,5,0,2,2,2.076
18.3,5.25,130,5,0,8,8,1.738
18.3,5.25,110,5,0,8,8,1.658
18.3,5.25,90,5,0,8,8,1.46
18.3,5.25,70,5,0,8,8,1.298
22.8,6.55,150,5,0,8,8,1.712
27.4,7.87,150,5,0,8,8,1.562
9.4,2.69,150,5,0,8,8,2.698
13.8,3.96,150,5,0,8,8,2.188
18.3,5.25,150,5,4,6,10,1.952
18.3,5.25,150,5,4,4,8,2.036
18.3,5.25,150,5,4,3,7,2.094
18.3,5.25,150,5,4,2,6,2.168
18.3,5.25,150,5,4,1,5,2.272
